pernr,bank_country,bank_key,bank_account,iban,currency,payment_method,needs_review
00000411,GB,25128954,6624157777,GB71496714252706908676,GBP,C,0
00000412,DE,47922947,4149031163,DE18467544066927212264,EUR,T,0
00000413,US,96305970,5756819468,US20214659303937169114,USD,C,0
00000414,FR,53595804,3933403162,FR0763873357029895504073,EUR,T,1
00000415,JP,38455649,5891101605,JP0487122158313567074543,JPY,K,0
00000416,GB,79188592,9100538281,GB13501177528620226360,GBP,C,0
00000417,ES,13485136,5110549646,ES4611518103508458899539,USD,T,1
00000418,DE,58524112,2177530553,DE16572327117753572934,EUR,K,0
00000419,DE,30518491,4443813846,DE39319353992918412094,EUR,K,0
00000420,FR,72531431,1365673316,FR0957529007274920736947131,EUR,K,0
00000421,FR,40190127,9300817868,FR2940258401495540380456059,EUR,C,0
00000422,GB,65604841,2451131415,GB46728806894593697201,GBP,T,0
00000423,ES,39803004,8243843090,ES7679630252409430810103,EUR,C,0
00000424,JP,78525305,2269838562,JP3771405958970568947936,JPY,T,0
00000425,US,98908696,7547425767,US99471207566676628365,USD,T,0
00000426,JP,68331455,6888197752,JP3227647710772794,JPY,C,1
00000427,JP,62435307,3709982973,JP9951937990474825493170,USD,K,1
00000428,ES,85227086,4626596497,ES8972603110220837669294,EUR,C,0
00000429,ES,35361530,6557491611,ES7680222313610101120526,EUR,K,0
00000430,ES,62356567,6219756472,ES0568278474674960573488,EUR,K,0
00000431,US,20343974,1306159615,DE14468402200736595557,EUR,T,1
00000432,FR,76697268,3916753727,FR1830720483907424030863244,EUR,K,0
00000433,US,15716951,8234882140,US35767665431463308689,USD,K,0
00000434,JP,48491739,5859462215,JP7723120499231180897551,JPY,K,0
00000435,FR,28686148,6087366580,FR5882805652416927578240571,EUR,K,0
00000436,US,73840072,5642527647,US26904417414913,USD,C,1
00000437,ES,24339810,6305970054,ES8942013864390682883453,EUR,K,0
00000438,US,26908588,8792497749,US15684189753650327649,USD,K,0
00000439,FR,26375155,4230903433,FR3323820341058438347997165,EUR,C,0
00000440,FR,71754165,5328414572,FR3989008633689040016297146,EUR,K,0
00000441,JP,57363242,4075993839,JP678580140245238528,JPY,K,1
00000442,DE,84061370,7176411607,DE16788030294946687153,EUR,K,0
00000443,DE,92491511,6567065878,DE19851036342547905502,USD,C,1
00000444,ES,12338417,9829991225,ES4645728971695038745633,EUR,T,0
00000445,US,69731087,4842237758,US47116819370625916711,EUR,T,1
00000446,ES,79910291,9090791867,US1744104362416752,EUR,C,1
00000447,FR,57379679,1969058626,FR9362107612529551230312436,EUR,T,0
00000448,US,48756252,4672963825,US15782008434450826351,USD,T,0
00000449,ES,58693243,6859531357,ES5113362005236512935008,EUR,C,0
00000450,ES,38638499,9529770351,ES3008114198255247717384,EUR,C,0
00000451,FR,62423596,3466889871,FR7382148203459249686,EUR,T,1
00000452,FR,16339836,1723020835,FR9386354401762032857458696,USD,T,1
00000453,ES,24190430,1634648673,ES5198897440044948596,EUR,K,1
00000454,GB,78252406,1623902474,GB80984727063121239775,GBP,T,0
00000455,JP,22731456,3225650141,JP03921438732508354236,JPY,K,1
00000456,GB,89567379,1386525996,JP51660924168054039061,GBP,T,1
00000457,ES,99178975,7493141031,ES6739462521171394897389,EUR,K,0
00000458,US,53602539,3090608474,US6169070084158310,USD,T,1
00000459,JP,21109264,2107070701,JP6628246643262316039621,JPY,C,0
00000460,GB,99757455,8006788010,GB97854365298112648505,GBP,C,0
00000461,DE,37642288,3475375251,DE52989093059251496557,EUR,T,0
00000462,ES,61577653,3301457713,ES8733587995897837929683,EUR,T,0
00000463,DE,34131898,1744444330,DE06376483777282921238,EUR,K,0
00000464,ES,66209004,9175274240,ES9205721046999559854934,EUR,K,0
00000465,GB,26931159,4376017351,ES11907660040073671646,GBP,K,1
00000466,US,73775454,3145499927,US270170523764530,USD,T,1
00000467,US,28867317,5892964254,US81346658095393782704,EUR,T,1
00000468,DE,10713407,7914554892,DE47099795879516763235,EUR,C,0
00000469,JP,31819238,7806498249,JP9940550310695479451555,JPY,T,0
00000470,JP,21583877,8309515316,JP6560423536018164267241,JPY,C,0
00000471,DE,54429444,4780085195,DE40912844240209749634,EUR,C,0
00000472,ES,14334038,4821721638,ES4227579519156690844088,EUR,C,0
00000473,DE,23181705,4101510161,DE58981128407760613759,EUR,K,0
00000474,DE,29650708,6167680763,DE55912088136169757232,EUR,C,0
00000475,GB,39403472,2755020089,DE34941994241411964789,GBP,K,1
00000476,JP,71418878,9397168902,JP7669602530272453775244,JPY,T,0
00000477,US,67741184,2950095383,US32836010155642175763,USD,K,0
00000478,ES,36953743,2638601536,ES3162134669554893335897,EUR,C,0
00000479,GB,98758939,7884525991,GB56356420044912965507,GBP,C,0
00000480,US,64313319,2485332566,US06689526381314251172,USD,K,0
00000481,US,18002795,3807946513,US85656683571012537084,USD,C,0
00000482,FR,17565823,1848921162,FR613187069564392802021,USD,K,1
00000483,FR,30360489,4192736951,FR6823540329416409298956450,EUR,C,0
00000484,DE,25352696,6039844605,DE53499773142334171163,USD,K,1
00000485,DE,71919280,7066166861,DE66939107678151812768,EUR,K,0
00000486,FR,22118163,1442593331,ES7322908998276953045631752,EUR,K,1
00000487,GB,28029432,6414175800,JP25926752742668014850,GBP,T,1
00000488,ES,99704366,3859428312,ES6102204860392279061349,EUR,K,0
00000489,GB,15526881,5356051593,GB92543102002265955529,GBP,K,0
00000490,US,58175160,8158969176,US57234547452826708852,USD,T,0
00000491,US,68985248,8961103152,US72458813565145439021,EUR,T,1
00000492,GB,37695718,7736361856,GB28218905689265,GBP,K,1
00000493,DE,42097049,9402183122,DE25580628518169888651,EUR,T,0
00000494,US,41559021,9410145623,US4088236546584998,USD,C,1
00000495,GB,67888220,2665975990,GB94732121240586859450,GBP,K,0
00000496,FR,55829630,4334161501,FR8101838521054414149744353,EUR,T,0
00000497,ES,29194010,5047883060,GB1133180677790381787,EUR,T,1
00000498,GB,21999476,9234073866,GB21066665457691230715,GBP,K,0
00000499,JP,11280634,3886005331,JP8702650266618657190761,JPY,K,0
00000500,ES,49149391,2559209105,ES9488255740115755074696,EUR,T,0
